left,bottom,right,top,gid,CCTV,경사도,공원,관공서,주차장,주택가,POP,sum,rank
129.029,35.148,129.03,35.149,2658,0.0,0.2773109243697479,0.0,0.0,0.0,0.6764705882352942,0.0,0.9537815126050421,158
129.051,35.164,129.052,35.165,226,0.0,0.06442577030812326,0.0,0.0,0.0,0.058823529411764705,0.8297586162012062,0.9530079159210941,159
129.039,35.153,129.04,35.154,972,0.0,0.19607843137254902,0.0,0.0,0.0,0.4264705882352941,0.32677687305053776,0.949325892658381,160
129.032,35.149,129.033,35.15,1189,0.3333333333333333,0.12605042016806722,0.0,0.0,0.0,0.3235294117647059,0.16488533425895124,0.9477984995250577,161
129.046,35.157,129.047,35.158,1442,0.0,0.17086834733893558,0.0,0.0,0.25,0.38235294117647056,0.13328415988121237,0.9365054483966185,162
129.051,35.163,129.052,35.164,408,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.9139127123015586,0.9335205554388135,163
129.057,35.172,129.058,35.173,1526,0.0,0.17647058823529413,0.0,0.0,0.0,0.6617647058823529,0.09468299996625351,0.9329182940839006,164
129.022,35.151,129.023,35.152,548,0.0,0.21568627450980393,0.0,0.0,0.0,0.5735294117647058,0.14354791277979453,0.9327635990543043,165
129.065,35.161,129.066,35.162,989,0.0,0.06722689075630252,0.0,0.0,0.5,0.08823529411764705,0.2753568690973779,0.9308190539713275,166
129.068,35.159,129.069,35.16,596,0.0,0.20448179271708683,0.0,0.0,0.0,0.6029411764705882,0.12224905871406602,0.9296720279017411,167
129.065,35.173,129.066,35.174,84,0.0,0.14565826330532214,0.0,0.0,0.0,0.47058823529411764,0.3116921934734294,0.9279386920728692,168
129.074,35.172,129.075,35.173,628,0.0,0.2380952380952381,0.0,0.0,0.0,0.5588235294117647,0.13101832434230506,0.927937091849308,169
129.042,35.168,129.043,35.169,1049,0.0,0.21568627450980393,0.0,0.0,0.0,0.5735294117647058,0.13837987938041452,0.9275955656549243,170
129.031,35.148,129.032,35.149,60,0.0,0.16246498599439776,0.0,0.0,0.0,0.6470588235294118,0.11582758437826918,0.9253513939020788,171
129.05,35.168,129.051,35.169,950,0.0,0.08123249299719888,0.0,0.0,0.5,0.0,0.3402995723838036,0.9215320653810025,172
129.035,35.149,129.036,35.15,901,0.0,0.18207282913165265,0.0,0.0,0.0,0.5735294117647058,0.16136123685694864,0.9169634777533071,173
129.037,35.153,129.038,35.154,1552,0.0,0.20448179271708683,0.0,0.0,0.0,0.5441176470588235,0.16665461434997034,0.9152540541258807,174
129.064,35.169,129.065,35.17,10,0.0,0.028011204481792718,0.0,0.0,0.0,0.7205882352941176,0.16309677046121807,0.9116962102371284,175
129.072,35.158,129.073,35.159,85,0.0,0.24649859943977592,0.0,0.0,0.0,0.5588235294117647,0.10527939680565399,0.9106015256571947,176
129.074,35.173,129.075,35.174,1039,0.0,0.2689075630252101,0.0,0.0,0.0,0.45588235294117646,0.1840485178060927,0.9088384337724792,177
129.045,35.177,129.046,35.178,1391,0.0,0.03081232492997199,0.0,0.0,0.0,0.7794117647058824,0.09236413423388244,0.9025882238697368,178
129.043,35.155,129.044,35.156,873,0.0,0.047619047619047616,0.0,0.0,0.0,0.5441176470588235,0.30920459530731,0.900941289985181,179
129.041,35.164,129.042,35.165,1131,0.0,0.25210084033613445,0.0,0.0,0.0,0.5294117647058824,0.11329177694536444,0.8948043819873812,180
129.051,35.166,129.052,35.167,977,0.0,0.08683473389355742,0.0,0.0,0.0,0.029411764705882353,0.7780927449874415,0.8943392435868813,181
129.067,35.161,129.068,35.162,776,0.3333333333333333,0.13445378151260504,0.0,0.0,0.0,0.3235294117647059,0.10274841029942774,0.894064936910072,182
129.036,35.152,129.037,35.153,832,0.0,0.21568627450980393,0.0,0.0,0.0,0.5588235294117647,0.11846945219810152,0.8929792561196702,183
129.053,35.147,129.054,35.148,1163,0.0,0.226890756302521,0.0,0.0,0.0,0.6029411764705882,0.06261419570069758,0.8924461284738068,184
